DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
KEY BAR,MANHATTAN,432,EAST   13 STREET,10009,"432 EAST   13 STREET, MANHATTAN, NY 10009",American,7/24/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,15,B,7/24/2018
PARK ITALIAN GOURMET,MANHATTAN,60,WEST   45 STREET,10036,"60 WEST   45 STREET, MANHATTAN, NY 10036",Italian,2/7/2017,Hot food item not held at or above 140Âº F.,Critical,7,A,2/7/2017
MINT MASALA,MANHATTAN,95,MACDOUGAL ST,10012,"95 MACDOUGAL ST, MANHATTAN, NY 10012",Indian,5/15/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,5/15/2018
KITCHENETTE UPTOWN,MANHATTAN,1272,AMSTERDAM AVENUE,10027,"1272 AMSTERDAM AVENUE, MANHATTAN, NY 10027",American,5/5/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,5/5/2016
THE NOLITAN HOTEL,MANHATTAN,30,KENMARE ST,10012,"30 KENMARE ST, MANHATTAN, NY 10012",American,8/27/2018,Food contact surface not properly maintained.,Not Critical,11,A,8/27/2018
SOLAS,MANHATTAN,232,EAST    9 STREET,10003,"232 EAST    9 STREET, MANHATTAN, NY 10003",American,4/4/2018,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,13,A,4/4/2018
P.J. CLARKE'S,MANHATTAN,44,WEST   63 STREET,10023,"44 WEST   63 STREET, MANHATTAN, NY 10023",American,2/27/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,2/27/2019
ARETSKY'S PATROON,MANHATTAN,158160,EAST   46 STREET,,"158160 EAST   46 STREET, MANHATTAN, NY ",American,8/16/2017,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,8/16/2017
HANAMICHI,MANHATTAN,28,W 32ND ST,10001,"28 W 32ND ST, MANHATTAN, NY 10001",Asian,1/8/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,A,1/8/2018
PIZZARTE,MANHATTAN,69,WEST   55 STREET,10019,"69 WEST   55 STREET, MANHATTAN, NY 10019",Italian,3/7/2019,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,3/7/2019
DOUBLE DOWN SALOON,MANHATTAN,14,AVENUE A,10009,"14 AVENUE A, MANHATTAN, NY 10009",American,7/17/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,7/17/2017
TRUFA RESTAURANT,MANHATTAN,3431,BROADWAY,10031,"3431 BROADWAY, MANHATTAN, NY 10031",Italian,7/11/2018,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14,B,7/11/2018
UDON WEST,MANHATTAN,11,ST MARKS PLACE,10003,"11 ST MARKS PLACE, MANHATTAN, NY 10003",Japanese,2/22/2018,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12,A,2/22/2018
WATERMARK BAR,MANHATTAN,78,SOUTH STREET,10038,"78 SOUTH STREET, MANHATTAN, NY 10038",American,4/14/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,4/14/2016
PANDA EXPRESS,MANHATTAN,835,3RD AVE,10022,"835 3RD AVE, MANHATTAN, NY 10022",Chinese,12/7/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,12/7/2017
ER BAR,MANHATTAN,605,2ND AVE,10016,"605 2ND AVE, MANHATTAN, NY 10016",Middle Eastern,12/4/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,12/4/2018
GREAT WOK 7,MANHATTAN,2238,7TH AVE,10027,"2238 7TH AVE, MANHATTAN, NY 10027",Chinese,7/11/2018,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10,A,7/11/2018
FAT CAT KITCHEN,MANHATTAN,223,E 14TH ST,10003,"223 E 14TH ST, MANHATTAN, NY 10003",American,9/25/2017,Hot food item not held at or above 140Âº F.,Critical,11,A,9/25/2017
GALLAGHER'S,MANHATTAN,228,WEST   52 STREET,10019,"228 WEST   52 STREET, MANHATTAN, NY 10019",American,5/4/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,5/4/2016
H&H MIDTOWN BAGELS EAST,MANHATTAN,526,COLUMBUS AVE,10024,"526 COLUMBUS AVE, MANHATTAN, NY 10024",Bagels/Pretzels,10/11/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,10/11/2018
MILENIO BAKERY,MANHATTAN,2030,THIRD AVE,10029,"2030 THIRD AVE, MANHATTAN, NY 10029",Bakery,4/5/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,4/5/2017
MOODY'S CAFETERIA,MANHATTAN,250,GREENWICH STREET,10007,"250 GREENWICH STREET, MANHATTAN, NY 10007",American,5/19/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,5/19/2017
GRACIE-MEWS RESTAURANT,MANHATTAN,1550,1 AVENUE,10028,"1550 1 AVENUE, MANHATTAN, NY 10028",American,7/12/2018,Food contact surface not properly maintained.,Not Critical,8,A,7/12/2018
POLLO DORADO FRIED CHICKEN,MANHATTAN,1497,ST NICHOLAS AVENUE,10033,"1497 ST NICHOLAS AVENUE, MANHATTAN, NY 10033","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/28/2017,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,2/28/2017
SOUVLAKI GR,MANHATTAN,116,STANTON STREET,10002,"116 STANTON STREET, MANHATTAN, NY 10002",Greek,3/2/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/2/2018
ROYAL CURRY & KABAB,MANHATTAN,19-25,ST NICHOLAS AVENUE,10026,"19-25 ST NICHOLAS AVENUE, MANHATTAN, NY 10026",Indian,12/22/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,12/22/2016
DESI GALLI,MANHATTAN,172,AVENUE B,10009,"172 AVENUE B, MANHATTAN, NY 10009",Indian,8/29/2016,Hot food item not held at or above 140Âº F.,Critical,11,A,8/29/2016
DELMONICOS,MANHATTAN,56,BEAVER STREET,10004,"56 BEAVER STREET, MANHATTAN, NY 10004",Italian,7/11/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,7/11/2016
CHECKER'S,MANHATTAN,695,ST NICHOLAS AV,10030,"695 ST NICHOLAS AV, MANHATTAN, NY 10030",American,4/20/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,4/20/2017
SEAMORE'S,MANHATTAN,390,BROOME ST,10013,"390 BROOME ST, MANHATTAN, NY 10013",Seafood,6/16/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,6/16/2016
BAKER'S PIZZA,MANHATTAN,201,AVENUE A,10009,"201 AVENUE A, MANHATTAN, NY 10009",Pizza,4/3/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,4/3/2017
THE MARK RESTAURANT,MANHATTAN,25,EAST   77 STREET,10075,"25 EAST   77 STREET, MANHATTAN, NY 10075",American,5/15/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,5/15/2017
VON,MANHATTAN,3,BLEECKER STREET,10012,"3 BLEECKER STREET, MANHATTAN, NY 10012",American,5/26/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,5/26/2016
LA GOURMET,MANHATTAN,111,EAST   58 STREET,10022,"111 EAST   58 STREET, MANHATTAN, NY 10022",Californian,3/26/2019,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,27,Z,3/26/2019
NICA TRATTORIA,MANHATTAN,354,EAST   84 STREET,10028,"354 EAST   84 STREET, MANHATTAN, NY 10028",Italian,9/19/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,9/19/2018
BEDFORD FALLS,MANHATTAN,206,EAST   67 STREET,10065,"206 EAST   67 STREET, MANHATTAN, NY 10065",American,11/8/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,11/8/2017
Stage 42,MANHATTAN,422,WEST   42 STREET,10036,"422 WEST   42 STREET, MANHATTAN, NY 10036",American,9/19/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,9/19/2018
KOBE SUSHI,MANHATTAN,1472,YORK AVE,10075,"1472 YORK AVE, MANHATTAN, NY 10075",Japanese,1/6/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,1/6/2016
GOLDEN STEAMER,MANHATTAN,143,MOTT STREET,10013,"143 MOTT STREET, MANHATTAN, NY 10013",Bakery,4/23/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,4/23/2018
SCHMACKARY'S,MANHATTAN,362,WEST   45 STREET,10036,"362 WEST   45 STREET, MANHATTAN, NY 10036",American,7/12/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,7/12/2016
FEDORA,MANHATTAN,239,WEST    4 STREET,10014,"239 WEST    4 STREET, MANHATTAN, NY 10014",American,6/30/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,6/30/2017
ROGER WILLIAMS HOTEL,MANHATTAN,131,MADISON AVENUE,10016,"131 MADISON AVENUE, MANHATTAN, NY 10016",American,4/1/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,4/1/2016
JUST SALAD,MANHATTAN,151,W 34TH ST,10001,"151 W 34TH ST, MANHATTAN, NY 10001",Salads,3/16/2016,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,3/16/2016
INTERCONTINENTAL NEW YORK TIMES SQUARE/TODD ENGLISH THE STINGER,MANHATTAN,306,WEST   44 STREET,10036,"306 WEST   44 STREET, MANHATTAN, NY 10036",French,3/14/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,3/14/2019
COVE LOUNGE,MANHATTAN,325,LENOX AVENUE,10027,"325 LENOX AVENUE, MANHATTAN, NY 10027",American,12/9/2015,''''Wash hands sign not posted at hand wash facility.,Not Critical,12,A,12/9/2015
LAUT,MANHATTAN,15,EAST   17 STREET,10003,"15 EAST   17 STREET, MANHATTAN, NY 10003",Thai,5/2/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,5/2/2016
WHITE HORSE TAVERN,MANHATTAN,25,BRIDGE ST,10004,"25 BRIDGE ST, MANHATTAN, NY 10004",American,1/14/2019,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11,A,1/14/2019
INSOMNIA COOKIES,MANHATTAN,164,ORCHARD ST,10002,"164 ORCHARD ST, MANHATTAN, NY 10002",Bakery,6/16/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,6/16/2017
ESSEN,MANHATTAN,515,MADISON AVENUE,10022,"515 MADISON AVENUE, MANHATTAN, NY 10022",American,2/8/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,Z,2/8/2019
FLUTE,MANHATTAN,205,WEST   54 STREET,10019,"205 WEST   54 STREET, MANHATTAN, NY 10019",American,4/3/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/3/2018
CHINATOWN CHINESE RESTAURANT,MANHATTAN,250,E HOUSTON ST,10002,"250 E HOUSTON ST, MANHATTAN, NY 10002",Chinese,2/27/2018,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,7,A,2/27/2018
PIG HEAVEN,MANHATTAN,1420,3RD AVE,10028,"1420 3RD AVE, MANHATTAN, NY 10028",Chinese,4/25/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,4/25/2018
TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,"311 WEST   51 STREET, MANHATTAN, NY 10019",French,3/12/2019,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,Z,3/12/2019
VINNY VINCENZ,MANHATTAN,231,1 AVENUE,10003,"231 1 AVENUE, MANHATTAN, NY 10003",Pizza,2/17/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,2/17/2016
TASTY DELI,MANHATTAN,4020,BROADWAY,10032,"4020 BROADWAY, MANHATTAN, NY 10032",American,8/10/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,8/10/2017
BABY BO'S CANTINA,MANHATTAN,627,2 AVENUE,10016,"627 2 AVENUE, MANHATTAN, NY 10016",Tex-Mex,10/11/2016,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,10/11/2016
STARBUCKS,MANHATTAN,76,9 AVENUE,10011,"76 9 AVENUE, MANHATTAN, NY 10011",CafÃ©/Coffee/Tea,7/2/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,7/2/2018
PIER I CAFE,MANHATTAN,PIER I,WEST 70 STREET,,"PIER I WEST 70 STREET, MANHATTAN, NY ",American,7/31/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,7/31/2017
C.U.N.Y CAFE,MANHATTAN,365,FIFTH AVENUE,10016,"365 FIFTH AVENUE, MANHATTAN, NY 10016",American,7/20/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,7/20/2018
TAVOLA,MANHATTAN,488,9 AVENUE,10018,"488 9 AVENUE, MANHATTAN, NY 10018",Italian,3/28/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,3/28/2018
SAKEBAR DECIBEL,MANHATTAN,240,EAST    9 STREET,10003,"240 EAST    9 STREET, MANHATTAN, NY 10003",Japanese,6/17/2016,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,6/17/2016
LA NUEVA VICTORIA RESTAURANT,MANHATTAN,2536,BROADWAY,10025,"2536 BROADWAY, MANHATTAN, NY 10025",Chinese/Cuban,5/11/2016,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,13,A,5/11/2016
MY BUBBLY TEA,MANHATTAN,55B,BAYARD STREET,10013,"55B BAYARD STREET, MANHATTAN, NY 10013","Juice, Smoothies, Fruit Salads",7/17/2017,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,7,A,7/17/2017
LA FIESTA RESTAURANT,MANHATTAN,3789,BROADWAY,10032,"3789 BROADWAY, MANHATTAN, NY 10032",Mexican,7/30/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,7/30/2018
CHARLEY'S GRILLED SUBS,MANHATTAN,401,7TH AVE,10001,"401 7TH AVE, MANHATTAN, NY 10001",American,9/30/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,9/30/2016
SUSHI PARA MANHATTAN,MANHATTAN,1461,3RD AVE,10028,"1461 3RD AVE, MANHATTAN, NY 10028",Japanese,8/2/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,C,8/2/2018
HUNGARIAN PASTRY SHOP,MANHATTAN,1030,AMSTERDAM AVENUE,10025,"1030 AMSTERDAM AVENUE, MANHATTAN, NY 10025",Eastern European,12/11/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/11/2015
TROPICAL SENSATION,MANHATTAN,953,AMSTERDAM AVENUE,10025,"953 AMSTERDAM AVENUE, MANHATTAN, NY 10025","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/19/2018,Hot food item not held at or above 140Âº F.,Critical,12,A,1/19/2018
FALAFEL TARBOOSH,MANHATTAN,1701,AMSTERDAM AVENUE,10031,"1701 AMSTERDAM AVENUE, MANHATTAN, NY 10031",Middle Eastern,10/23/2017,Thawing procedures improper.,Not Critical,6,A,10/23/2017
BARROW STREET ALE HOUSE,MANHATTAN,15,BARROW ST,10014,"15 BARROW ST, MANHATTAN, NY 10014",American,5/21/2018,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,27,B,5/21/2018
MISIRIZZI,MANHATTAN,36,E 4TH ST,10003,"36 E 4TH ST, MANHATTAN, NY 10003",Italian,6/19/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/19/2018
EATILY FOODS,MANHATTAN,695,PARK AVE,10065,"695 PARK AVE, MANHATTAN, NY 10065",American,2/13/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2/13/2019
SONG E NAPULE,MANHATTAN,146,W HOUSTON ST,10012,"146 W HOUSTON ST, MANHATTAN, NY 10012",Pizza/Italian,3/28/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,3/28/2018
RIVERSIDE CAFE,MANHATTAN,475,RIVERSIDE DRIVE,10115,"475 RIVERSIDE DRIVE, MANHATTAN, NY 10115",American,3/16/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,3/16/2016
EISENBERG'S SANDWICH SHOP,MANHATTAN,174,5TH AVE,10010,"174 5TH AVE, MANHATTAN, NY 10010",American,7/31/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,7/31/2018
JOSEPH'S RISTORANTE,MANHATTAN,3,HANOVER SQUARE,10004,"3 HANOVER SQUARE, MANHATTAN, NY 10004",Italian,8/21/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,8/21/2017
LULU POKE,MANHATTAN,353,W 14TH ST,10014,"353 W 14TH ST, MANHATTAN, NY 10014",American,3/28/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,50,Not Yet Graded,
NEW CRISPY BAMBOO,MANHATTAN,2526,FREDERICK DOUGLAS BOULEVARD,10030,"2526 FREDERICK DOUGLAS BOULEVARD, MANHATTAN, NY 10030",Chinese,12/21/2017,Thawing procedures improper.,Not Critical,4,A,12/21/2017
PROFIT CHINESE RESTAURANT II,MANHATTAN,643,2ND AVE,10016,"643 2ND AVE, MANHATTAN, NY 10016",Chinese,2/13/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,2/13/2018
BRANSON GOT JUICE,MANHATTAN,741,ST NICHOLAS AVENUE,10031,"741 ST NICHOLAS AVENUE, MANHATTAN, NY 10031","Juice, Smoothies, Fruit Salads",2/21/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,B,2/21/2019
SMILE TO GO,MANHATTAN,22,HOWARD STREET,10013,"22 HOWARD STREET, MANHATTAN, NY 10013",American,10/12/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,10/12/2016
SPAGHETTI INCIDENT,MANHATTAN,231,ELDRIDGE ST,10002,"231 ELDRIDGE ST, MANHATTAN, NY 10002",Italian,3/28/2017,''''Wash hands sign not posted at hand wash facility.,Not Critical,11,A,3/28/2017
BERIMBAU,MANHATTAN,43,CARMINE STREET,10014,"43 CARMINE STREET, MANHATTAN, NY 10014",Brazilian,1/11/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,8,A,1/11/2017
MEE SUM CAFE,MANHATTAN,26,PELL STREET,10013,"26 PELL STREET, MANHATTAN, NY 10013",CafÃ©/Coffee/Tea,3/15/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,3/15/2019
LATINO'S BAR & GRILL RESTAURANT,MANHATTAN,3864,BROADWAY,10032,"3864 BROADWAY, MANHATTAN, NY 10032","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/9/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,B,11/9/2016
WOLFETONE'S IRISH PUB & KITCHEN,MANHATTAN,37,E 29TH ST,10016,"37 E 29TH ST, MANHATTAN, NY 10016",American,3/2/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,5,A,3/2/2016
FIVE GUYS FAMOUS BURGERS AND FRIES,MANHATTAN,253,WEST   42 STREET,10036,"253 WEST   42 STREET, MANHATTAN, NY 10036",Hamburgers,6/4/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,6/4/2018
NARUTO RAMEN,MANHATTAN,2634,BROADWAY,10025,"2634 BROADWAY, MANHATTAN, NY 10025",Japanese,9/18/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,9/18/2017
ZAYTOON,MANHATTAN,1030,2 AVENUE,10022,"1030 2 AVENUE, MANHATTAN, NY 10022",Turkish,11/21/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,11/21/2016
CENTER PLATE- CONCOURSE CAFE-JACOB K JAVITS CONVENTION CENTER,MANHATTAN,655,W 34TH ST,10001,"655 W 34TH ST, MANHATTAN, NY 10001",CafÃ©/Coffee/Tea,6/17/2016,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,6/17/2016
LUNA ROSSA,MANHATTAN,347,EAST   85 STREET,10028,"347 EAST   85 STREET, MANHATTAN, NY 10028",Italian,2/24/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,2/24/2018
JOHNNY KAKS,MANHATTAN,2453,ADAM CLAYTON POWELL JR BLVD,10030,"2453 ADAM CLAYTON POWELL JR BLVD, MANHATTAN, NY 10030",Caribbean,2/2/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,2/2/2017
ST JAMES GATE,MANHATTAN,441,AMSTERDAM AVENUE,10024,"441 AMSTERDAM AVENUE, MANHATTAN, NY 10024",Irish,3/13/2019,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,3/13/2019
SANU RIA MALAYSIAN & INDONESIAN CUISINE,MANHATTAN,18,DOYERS ST,10013,"18 DOYERS ST, MANHATTAN, NY 10013",Indonesian,6/23/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/23/2017
PIZZA STOP,MANHATTAN,531,MALCOLM X BLVD,10037,"531 MALCOLM X BLVD, MANHATTAN, NY 10037",Pizza,2/1/2019,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12,A,2/1/2019
NEW YORK SAL'S PIZZERIA,MANHATTAN,696,10TH AVE,10019,"696 10TH AVE, MANHATTAN, NY 10019",Pizza,3/21/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,3/21/2017
GREEN SYMPHONY,MANHATTAN,255,WEST   43 STREET,10036,"255 WEST   43 STREET, MANHATTAN, NY 10036",American,4/4/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,4/4/2018
PRET A MANGER,MANHATTAN,11,WEST   42 STREET,10036,"11 WEST   42 STREET, MANHATTAN, NY 10036",Sandwiches/Salads/Mixed Buffet,8/27/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,8/27/2018
PADDY MAGUIRE'S ALE HOUSE,MANHATTAN,237,THIRD AVENUE,10003,"237 THIRD AVENUE, MANHATTAN, NY 10003","Bottled beverages, including water, sodas, juices, etc.",9/23/2015,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,21,B,9/23/2015
